year,carcass_present,bird_or_mammal,species_code,species_sci_name,species_common_name,species_itis,species,age_class,sex,condition,cause_of_death,alive,n
1995,1,bird,RNPH,Phalaropus lobatus,Red-necked Phalarope,176735,RNPH: Red-necked Phalarope (Phalaropus lobatus; ITIS: 176735),NA,U,3,NA,0,1
1995,1,bird,RNPH,Phalaropus lobatus,Red-necked Phalarope,176735,RNPH: Red-necked Phalarope (Phalaropus lobatus; ITIS: 176735),NA,U,4,NA,0,1
1995,1,bird,RTLO,Gavia stellata,Red-throated Loon,174474,RTLO: Red-throated Loon (Gavia stellata; ITIS: 174474),NA,U,2,NA,0,2
1995,1,bird,SOSH,Puffinus griseus,Sooty Shearwater,174553,SOSH: Sooty Shearwater (Puffinus griseus; ITIS: 174553),NA,U,3,NA,0,6
1995,1,bird,SOSH,Puffinus griseus,Sooty Shearwater,174553,SOSH: Sooty Shearwater (Puffinus griseus; ITIS: 174553),NA,U,4,NA,0,1
1995,1,bird,SRTS,Puffinus tenuirostris,Short-tailed Shearwater,174554,SRTS: Short-tailed Shearwater (Puffinus tenuirostris; ITIS: 174554),NA,U,2,NA,0,1
1995,1,bird,SRTS,Puffinus tenuirostris,Short-tailed Shearwater,174554,SRTS: Short-tailed Shearwater (Puffinus tenuirostris; ITIS: 174554),NA,U,3,NA,0,2
1995,1,bird,SSTS,Puffinus griseus/tentuiro.,Sooty/Short-tailed Shearwater,174371,SSTS: Sooty/Short-tailed Shearwater (Puffinus griseus/tentuiro.; ITIS: 174371),NA,U,0,NA,0,1
1995,1,bird,SSTS,Puffinus griseus/tentuiro.,Sooty/Short-tailed Shearwater,174371,SSTS: Sooty/Short-tailed Shearwater (Puffinus griseus/tentuiro.; ITIS: 174371),NA,U,3,NA,0,2
1995,1,bird,SUSC,Melanitta perspicillata,Surf Scoter,175170,SUSC: Surf Scoter (Melanitta perspicillata; ITIS: 175170),NA,F,3,NA,0,2
1995,1,bird,SUSC,Melanitta perspicillata,Surf Scoter,175170,SUSC: Surf Scoter (Melanitta perspicillata; ITIS: 175170),NA,F,4,NA,0,2
1995,1,bird,SUSC,Melanitta perspicillata,Surf Scoter,175170,SUSC: Surf Scoter (Melanitta perspicillata; ITIS: 175170),NA,M,2,NA,0,1
1995,1,bird,SUSC,Melanitta perspicillata,Surf Scoter,175170,SUSC: Surf Scoter (Melanitta perspicillata; ITIS: 175170),NA,M,3,NA,0,2
1995,1,bird,SUSC,Melanitta perspicillata,Surf Scoter,175170,SUSC: Surf Scoter (Melanitta perspicillata; ITIS: 175170),NA,M,4,NA,0,2
